songinfo,lyrics,year
JOHNNY CASH AND THE TENNESSEE TWO - SO DOGGONE LONESOME LYRICS,"I do my best to hide this lowdown feelin I try to make believe theres nothing wrong But theyre always asking me about you darling And it hurts me so to tell em that youre gone If they ask me I guess Id be denyin that Ive been unhappy all alone But if they heard my heart theyd hear it cryin Wheres my darling, whens she coming home  I ask myself a million times whats right for me to do To try to lose my blues alone or hang around for you But I make it pretty good until that moon comes shining through And that I get so doggone lonesome  Time stands still when youre a waitin sometimes I think my heart is stoppin too One lonely hour seems forever sixty minutes more to wait for you But I guess Ill keep waitin till youre with me cause I believe that loving you is right But I dont care if the sun dont rise tomorrow if I cant have you with me tonight  Well I know Ill keep on loving you cause true love cant be killed I ought to get you off of my mind but I guess I never will I could have a dozen others but I know Id love you still Cause I get so doggone lonesome",1955
NAT KING COLE - UNFORGETTABLE LYRICS,"Unforgettable, thats what you are Unforgettable though near or far Like a song of love that clings to me How the thought of you does things to me Never before has someone been more  Unforgettable in every way And forever more, thats how youll stay Thats why, darling, its incredible That someone so unforgettable Thinks that I am unforgettable too  Unforgettable in every way And forever more, thats how youll stay Thats why, darling, its incredible That someone so unforgettable Thinks that I am unforgettable too",1951
JERRY LEWIS - ROCK-A-BYE YOUR BABY WITH A DIXIE MELODY LYRICS,"Rock-a-bye your baby With a Dixie melody When you croon, croon a tune From the heart of Dixie  Just hang my cradle, mammy mine Right on that Mason Dixon line And swing it from Virginia To Tennessee with all The love thats in you  Weep no more Weep no more, my lady Sing that song for me So soft and low, just as though You had me on your knee  A million baby kisses Ill deliver The minute that you Sing the Swanee River Rock-a-bye your rock-a-bye baby With a Dixie melody  Oh, weep no more, my lady Sing that song for me So soft and low, just as though You had me on your knee  A million baby kisses Im gonna deliver The minute that you Sing the Swanee River Rock-a-bye your rock-a-bye baby With a Dixie melody",1957
ELVIS PRESLEY - LOVING YOU LYRICS,"I will spend my whole life through Loving you, just loving you Winter, summer, spring time, too Loving you, loving you Makes no difference where I go or what I normally do And you know that Ill always be loving you, just you and  If Im seen with someone new Dont be blue, dont you be blue Ill be faithful Ill be true And always true, true to you There is only one for me and you know who And you know that Ill always be loving you",1957
DEAN MARTIN - MEMORIES ARE MADE OF THIS LYRICS,"Sweet, sweet memories you gave-a me You cant beat the memories you gave-a me  Take one fresh and tender kiss Add one stolen night of bliss One girl, one boy Some grief, some joy  Memories are made of this  Dont forget a small moonbeam Fold in lightly with a dream Your lips and mine Two sips of wine  Memories are made of this  Then add the wedding bells One house where lovers dwell Three little kids for the flavor  Stir carefully through the days See how the flavor stays These are the dreams youll savor  With his blessings from above Serve it generously with love One man, one wife One love through life  Memories are made of this Memories are made of this",1955
B.B. KING - EVERYDAY (I HAVE THE BLUES) LYRICS,"Everyday, everyday I have the blues Everyday, everyday I have the blues When you see me worried, baby Because its you I hate to lose  Oh, nobody loves me Nobody seems to care Yes nobody loves me Nobody seems to care  Speaking of bad luck and trouble Well you know I had my share  Im gonna pack my suitcase Move on down the line Yes, Im gonna pack my suitcase Move on down the line  Where there aint nobody worried And there aint nobody crying",1954
FATS DOMINO - PLEASE DON'T LEAVE ME LYRICS,"Hoo-ooo-ooo Hoo-ooo-ooo Hoo-ooo-ooo Hoo-ooo-ooo Woo-woo-woo Woo-woo-woo  Woo-woo-woo-woo-woo-woo Woo-woo-woo-woo-woo-woo Woo-woo-woo-woo-woo-woo Woo-woo-woo-woo-woo-woo Woo-woo-woo-woo-woo-woo Woo-woo-woo-woo-woo-woo  Please dont leave me Baby, please dont go Please dont leave me Baby, please dont go Well, if you go way and leave me Gee, you gonna hurt me, so  Yes, I love you, baby Gonna tell all the world I do Yes, I love you, baby Gonna tell all the world I do Well, if you go away and leave me Dont know what Im going to do  Woo-ooo-ooo Woo-ooo-ooo Woo-ooo-ooo Woo-ooo-ooo Woo-oo  Woo-woo-woo-woo-woo Woo-woo-woo, woo-woo-woo Woo-woo-woo-woo-woo Woo-woo-woo-woo-woo Woo-woo-woo-woo-woo  Woo-ooo-ooo-ooo.",1953
THE SOUL STIRRERS - JESUS GAVE ME WATER LYRICS,"Woah, Jesus gave me water, Jesus gave me water Jesus gave me water, I wanna let His praises swell Jesus gave me water, Jesus gave me water Jesus gave me water and it was not in the well  Well, there was a woman from Samaria, came to the well to get some water There she met a stranger who did a story tell Then the woman dropped her pitcher Shes drinking was made richer From the water He gave her and it was not in the well  Yes, He gave her water, Jesus gave her water Jesus gave her water, I wanna let His praises swell Jesus gave her water, He gave that woman water Gave her living, loving, lasting water and it was not in the well  Well, on that woman He had pity, she ran back to the city Crying glory Hallelujah and did His wonders tell She left my Savior singing, she came back to Him bringing The times shed had water Lord, and it was not in the well  Yes, He gave her water, Jesus gave her water Jesus gave her water, I wanna let His praises swell Jesus gave that woman water, gave her that love and lasting water Water and it was not in the well  Well, Lord that woman left a shoutin and there was no room for doubtin That she had met a Savior who did all wonders tell Every time she doubtin she start to think about Him The man that gave her that water Lord, and it was not in the well  Yes, He gave her water, Jesus gave her water Jesus gave her water, I wanna let His praises swell Tell you He gave that woman water, gave her that love and lasting water Water, water, water, water loving water and it was not in the well",1951
THE EVERLY BROTHERS - TAKE A MESSAGE TO MARY LYRICS,"These are the words of a frontier lad Who lost his love when he turned bad  Take a message to Mary But dont tell her where I am Take a message to Mary But dont say Im in a jam  You can tell her I had to see the world Or tell her that my ship set sail You can say, she better not wait for me But dont tell her Im in jail, oh dont tell her Im in jail  Take a message to Mary But dont tell her what Ive done Please dont mention the stagecoach And the shot from a careless gun  You can tell her I had to change my plans And cancel out the wedding day But please dont mention my lonely cell Where Im gonna pine away until my dying day  Take a message to Mary But dont tell her all you know My hearts achin for Mary Lord knows I miss her so  Just tell her I went to Timbuktu Tell her Im searchin for gold You can say she better find someone new To cherish and to hold, oh Lord, this cell is cold  Mary, Mary, oh Lord, this cell is cold",1959
PERRY COMO - ROUND AND ROUND LYRICS,"Find a wheel, and it goes round, round, round, As it skims along with a happy sound, As it goes, along the ground, ground, ground, ‘Till it leads you to the one you love!  Then your love, will hold you round, round, round, And your hearts a song with a brand new sound, And your head, goes spinnin round, round, round, ‘Cause you found what youve been dreamin of!  In the night you see the oval moon, Goin round and round in tune. And the ball of sun in the day, Makes a girl and boy wanna say:  Find a ring, (find a ring . . .) and put it round, round, round, And with ties so strong the two hearts are bound, Put it on, (put it on . . .) the one you found, found, found, For you kno that this is really love! (. . . this is really love!)  Find a wheel, (find a wheel . . .) and it goes round, round, round, As it skims along with a happy sound, As it goes, (as it goes . . .) along the ground, ground, ground, ‘Till it leads you to the one you love! (. . . to the one you love!)  Then your love, (then your love) youll hold her round, round, round, And your hearts a song with a brand new sound, And your head, (and your head) goes spinning round, round, round, ‘Cause you found what youve been dreamin of! (. . . youve been dreamin of!)  In the night you see the oval moon, Goin round and round in tune (going round and round!) And the ball of sun in the day, Makes a girl and boy wanna say: (wanna say, wanna say!)  Find the ring, (find the ring . . .) and put it round, round, round, And with ties so strong your two hearts are bound, Put it on, the one you found, found, found, For you kno that this is really love!  Find a ring, put it on, For you kno that this is really love, Really love . . . really love . . . hmmm!",1957
