songinfo,lyrics,year
DEPECHE MODE - ENJOY THE SILENCE LYRICS,"Words like violence break the silence  Come crashing in, into my little world  Painful to me, pierce right through me  Cant you understand? Oh, my little girl   All I ever wanted, all I ever needed  Is here in my arms  Words are very unnecessary  They can only do harm   Vows are spoken to be broken  Feelings are intense, words are trivial  Pleasures remain, so does the pain  Words are meaningless and forgettable   All I ever wanted, all I ever needed  Is here in my arms  Words are very unnecessary  They can only do harm   All I ever wanted, all I ever needed  Is here in my arms  Words are very unnecessary  They can only do harm   All I ever wanted, all I ever needed  Is here in my arms  Words are very unnecessary  They can only do harm",1990
PRINCE - THE MOST BEAUTIFUL GIRL IN THE WORLD LYRICS,"Could you be The most beautiful girl in the world Its plain to see Youre the reason that God made a girl  When the day turns into the last day of all time I can say, I hope you are in these arms of mine And when the night falls before that day I will cry I will cry tears of joy Cause after you all one can do is die  Could you be The most beautiful girl in the world, could you be Its plain to see Youre the reason that God made a girl Youre the reason that God made a girl Oh yes, you are  How can I get through days when I cant get through hours I can try but when I do I see you and Im devoured, oh yes Whod allow, whod allow a face to be soft as a flower I could bow and feel proud in the light of this power, oh yes   (Bow down)  Could you be (Could you be) The most beautiful girl in the world Could you be Its plain to see Youre the reason that God made a girl Oh yes, you are  And if the stars ever fell one by one from the sky I know Mars could not be too far behind Cuz baby, this kind of beauty has got no reason to ever be shy Cuz honey, this kind of beauty the kind that comes from inside  Could you be (Could you be) The most beautiful girl in the world (So beautiful, beautiful ) Its plain to see (Plain to see) Youre the reason that God made a girl, oh yeah Oh yes, you are  Could you be",1994
JOURNEY - WHEN YOU LOVE A WOMAN LYRICS,"Journey Trial By Fire When You Love A Woman In my life I see where Ive been  I said that Id never fall again  Within myself I was wrong  My searchin aint over.....over  I know that  When you love a woman  You see your world inside her eyes  When you love a woman  You know shes standin by your side  A joy that lasts forever  Theres a band of gold that shines waiting  somewhere.....oh yeah  If I cant believe that someone is true  to fall inlove is so hard to do  I hope and pray tonight  Somewhere youre thinking of me girl  Yes I know....I know that  When you love a woman  You see your world inside her eyes  When you love a woman  You know shes standin by your side  A joy that lasts forever  Theres a band of gold that shines, waiting  somewhere....oh ....  its enough to make you cry.  When you see her walkin by  And you look into her eyes  When you love a woman  You see your world inside her eyes  When you love a woman  Well you know shes standin by your side  A joy that lasts forever  Theres a band of gold that shines  When you love a woman.....  When you love, love, love  When you love a woman  You see your world inside her eyes.",1997
DIGABLE PLANETS - REBIRTH OF SLICK (COOL LIKE DAT) LYRICS,"We like the breeze flow straight out of our lids  Them they got moved by these hard rock Brooklyn kids  Us flow a rush when the DJs boomin classics  You dig the crew on the fattest hip hop records   He touch the kinks and sinks into the sounds  She frequents the fatter joints called undergrounds  Our funk zooms like you hit the Mary Jane  They flock to booms man boogie had to change   Who freaks the clips with mad amount percussion  Where kinky hair goes to un thought of dimensions  Whys it so fly cause hip hop kept some drama  When Butterfly rocked his light blue suede Pumas   What by the cut we push it off the corner  How was the buzz entire hip hop era?  Was fresh and fat since they started sayin Audi  Cause funks made fat from right beneath my hoodie   The Puba of the styles like miles and shit  Like sixties funky worms with waves and perms  Just sendin chunky rhythms right down ya block  We be to rap what key be to lock   But Im cool like dat, Im cool like dat  Im cool like dat, Im cool like dat  Im cool like dat, Im cool like dat  Im cool like dat, Im cool   We be the chocolates taps on my raps  She innovates at the sweeta cat naps  He at the funk club with the vibrate  Them they be crazy down with the five plate   It can kick a plan then a crowd burst  Me I be diggin it with the bump verse  Us we be freakin till dawn blinks an eye  He gives the strangest smile so I say hi   Who understood yeah understood the plan  Him heard a beat and put it to his hands  What I just flip let borders get loose  How to consume or theyll be just like juice   If its the shit well lift it off the plastic  The babesll go spastic hip hop gains a classic  Pimp playin shock it dont matter Im fatter  Ax Butta how I zone, man Cleopatra Jones   And Im chill like dat, Im chill like dat  Im chill like dat, Im chill like dat  Im chill like dat, Im chill like dat  Im chill like dat, Im chill   Blink, blink, blink  Think, think, think   We get ya free cause the clips be fat boss  Them theyre the jams and commence to goin off  She sweats the beat and ask me cause she puffed it  Me I got crew kids seven and a crescent   Us cause a buzz when the nickel bags are dealt  Him thats my man with the asteroid belt  They catch a fizz from the Mr. Doodle big  He rocks a tee from the Crooklyn non pigs   The rebirth of slick like my gangsta stroll  The lyrics just like loot come in stacks and rolls  You used to find a bug in a box with fade  Now he boogies up your stage plaits twist or braids   And Im peace like dat, Im peace like dat  Im peace like dat, Im peace like dat  Im peace like dat, Im peace like dat  Im peace like dat, Im peace   Check it out man I groove like dat  Im smmoce like dat, I jive like dat, I roll like dat  Yeah Im thick like dat, I stack like dat  Im down like dat, Im black like dat   Well yo I funk like dat, Im fat like dat  Im in like dat, cause I swing like dat  We jazz like dat, we freak like dat  We zoom like dat we out",1993
TARA KEMP - PIECE OF MY HEART LYRICS,Come on come on Come on come on Didnt I make you feel You were the only man Mmmm and didnt I give you everything That a woman possibly can You know I did Each time I tell myself That I think Ive had enough Im gonna show you A woman can be tough CHORUS: I want you to come on come on come on come on hey (take it) Take another little piece of my heart now baby (break it) Break another little piece of my heart now baby (have a) Have another little piece of my heart now baby You know youve got it If it makes you feel good Youre out on the street looking good Deep down in your heart I guess you know it just aint right Now you can hear me when you cry I cry all the time Each time I tell myself that I cant stand the pain But when you hold me in your arms And I feel it once again (chorus) You know youve got it If it makes you feel good If it makes you feel Youre out on the street And deep down in your heart I guess You know it just aint right Yeah yeah yeah (chorus) You know youve got it yeah You know youve got it Take another little piece of my heart now baby Youve got to break another piece Break another piece break another piece Of my heart agin You know youve got it You know youve got it If it makes you feel good,1991
MICHAEL JACKSON - IN THE CLOSET LYRICS,"Michael Jackson Miscellaneous In The Closet Theres something I have to say to you  If you promise youll understand  I cannot contain myself when in your presence  Im so humble  Touch me  Dont hide our love  Woman to man    She just a lover  Who makes me high  Its worth the givin  Its worth the try  You cannot cleave it  Put it in the furnace  You cannot wet it  You cannot burn it    She wants to give it  (She wants to give it  Ahh she wants to give it)  Dare me  (She wants to give it  Ahh she wants to give it)  She wants to give it  (She wants to give it)  Yeah  (Ahh she wants to give it)  (She wants to give it  Ahh she she wants to give it)    Its just a feelin  You have to soothe it  You cant neglect it  You cant abuse it  Its just desire  You cannot waste it  Then if you want it  Then wont you taste it    She wants to give it  (She wants to give it  Ahh she wants to give it)  Dare me  (She wants to give it  Ahh she wants to give it)  She wants to give it  (She wants to give it)  Yeah  (Ahh she wants to give it)  No No  (She wants to give it  Ahh she wants to give it)    One thing in life you must understand  The truth of lust  Woman to man  So open the door and you will see  There are no secrets  Make your move  Set me free    Ah  Because theres somethin about you baby  That makes me want  To give it to you  I swear theres  Somethin about you baby  Ah  Oh    Just promise me  Whatever we say   Whatever we do to each other  For now we make a vow to just  Keep it in the closet  (Dare me)    If you can get it  Its worth a try  I really want it  I cant deny   Its just desire  I really love it  Cuz if its achin  You have to rub it  She wants to give it    (She wants to give it  Ahh she wants to give it)  (Dare me)  (She wants to give it  Ahh she wants to give it)  She wants to give it  (She wants to give it)  Yeah  (Ahh she wants to give it)  (She wants to give it  Ahh she wants to give it)    Just open the door and you will see  This passion burns inside of me  Dont say to me  Youll never tell  Touch me there  Make the move  Cast the spell    Ah  Because theres somethin about you baby  That makes me want  To give it to you  I swear theres somethin about you baby  That makes me want    Just promise me   Whatever we say  Or do to each other  (Whatever we doooooo)  We make a vow for now to just  Keep it in the closet    (Dare me)  Ooh!  (gasping, whispering)  Because theres somethin about you baby  That makes me want  To give it to you  Because theres   Somethin about you baby  That makes me want  To give it to you  I swear theres somethin about you baby  (I dont know)  That makes me want   To give it to you  I swear theres somethin about you baby  That makes me want  (I dont know, I dont know) To give it to you  Theres somethin about you baby  That makes me want  To give it to you  Somethin about you baby  That makes me want    Just promise me   Whatever we say  Whatever we do to each other  (Whatever we doooooo)  For now   Well make a vow to just  Keep it in the closet    (She wants to give it)  Dare me  (gasping)  (Ah)  Keep it in the closet  (She wants to give it)  Dare me  (Ah)  (gasping)  Keep it in the closet  (She wants to give it  Ahh she wants to give it)  Dare me (She wants to give it)  (major gasping)  (Ahh she wants to give it)  (She wants to give it  Ahh she wants to give it)  (She wants to give it   Ahh she wants to give it)   (Break it down)  (She wants to give it)  (She wants to give it  Ahh she wants to give it)  (She wants to give it)   (Keep it in the closet)  (She wants to give it)   (She wants to give it)   (Keep it in the closet)  (She wants to give it  Ahh she wants to give it)",1992
MARKY MARK AND THE FUNKY BUNCH - WILDSIDE LYRICS,"Marky Mark And The Funky Bunch Wildside Wildside Ah yeah huh American the beautiful  huh yeah let me introduce yall to the wildside  Annie was a high school cheerleader  Pom poms and bobby socks and no girl was sweeter  Come prom time everybody was on the line  All the fellas singing nickel and dime  Tales about love and lust and trust  But Annie took it in all in stride  Cause deep inside annie had aspirations  Wanted to be a chemical engineer  making 50 to 55 thousand a year  Her first year of college was a success  but along came Billy possessed and obsessed  He took Annie on a fatal date  and showed her things that made heart beats accelerate  Annie took a hit breathed two short breaths  one for life the last for death  Now shes gone a former valedictorian  Ended up becoming a topic for historians  Washed up dreams, shattered pride  All because Annie took a hit on the wildside   (Chorus)   Ron had enough of being broke every day  saying to himself. Theres gotta be a better way  cause 9 to 5 wasnt worth the headaches  So ron figured out a faster way to make money  Before you know it, hes a rich man  Gold on every finger of his hand  A brand new BMW. A condo. Ron ended up a john doe  A body was found in the alley but never claimed  Full of bullet holes but none to blame  Ron became another victim of homicide  because he chose to walk on the wildside   (Chorus)   Charles had everything going for him  A top paying job a good life. A good wife  A baby boy on the way any day  A gentleman attitude is all he displayed  Carol was the wife he loved and adored  Her family and friends treated him like an ambassador  One night on the other side of town  A police dispatcher picked up a weird sound  Charles on the car phone asking for help  Claiming a burglar shot his wife and himself  His pregnant wife lay slumped over  Dreams corrupt and a young life over  Extensive searches throughout the projects  put a lot of people through misery and wreck  Everyone a suspect till someone was found  Interrogated cause their skin was brown  Then there was Benny, guilty until proven so  but soon as the case started moving slow  what do you know, sure as a sea gull gets webbed toed  Charles was the culprit  The whole plot was an insurance scam  Charles and his brother came up with a plan  Kill carol collect a big check  Blame it on a black man. What the heck!  And just before the story was known  Charles had a feeling his cover was blown  so he jumped off a bridge  Committed suicide  This is how it is on the wildside!   (Chorus)   Little Tiffany. Only thirteen  Came to the city. Place of big dreams  Visiting family and friends for the summer time  Sitting on a mailbox, watching the boys climb trees  and the girls play hopscotch  So far her vacation was top notch  But of the blue a Mercedes at top speed  Gang bangers chasing the robbers on the stampede  Quick as a blink shots rang out loud  and a hail of bullets zipped through the crowd  One hit Tiffany and instantly she died  Innocently on the wildside",1992
AFTER 7 - CAN'T STOP LYRICS,"Babyface and L.A. Reid  Last night, I had the time of my life-- its true For last night, I made love for the very first time With you  I never knew love could be so sweet It never made a difference to me But ever since the day that you appeared Im telling you made the difference Now love is so clear  And I cant stop (Cant stop)** How I feel Im diggin on you You diggin on me We diggin on we And Oh I cant stop (Cant Stop) How I feel Im diggin on you You diggin on me  Last night, you bought something special out of me And for the first time You made my dream a reality  I never though love was meant for me For Iwas blind and could not see You bought about a love thats so sincere And Im telling you, youve made the difference Now love is so sincere  Repeat chorus ** 4x  Youve got me thinking that I need protection Cause your love is so strong I dont wanna do wrong Girl your love seems like its true protection You just give me a call And Ill give you my all  Repeat Chorus",1990
DA BRAT - FUNKDAFIED LYRICS,"Hard times in the funk Yeah, so funkdafied So lets take a ride with the Brat-tat-tat-tat-tat-tat on that ass  So, so, so funkdafied So, so, so funkdafied  Open up, open up and let the funk flow in From this nigga named J and his new found friend Im hittin switches like Eric on the solo creep For yo jeep its the B R A T  Puttin the dip in your hip from right to left Its that ghetto west bitch and Im so, so Def Nigga, thats my click, nigga, thats who I rolls with And we kicks nothing but the fat shit  Them calls me the funkdafied, funkalistic, vocalistic With the real shit, we got the shit you cant fuck wit (Why?) Because we so funkdafied (Why?) We make you move from side to side  Well, its the G H the E T T O, nigga Brat and J.D. comin like that big baby So lay back and listen as I catch up on my pimpin And freak this duet just like Ashford and Simpson  Cause Im so, so, so funkdafied So, so, so funkdafied So, so, so funkdafied So, so, so funkdafied  Puttin it down, puttin it down, aint no thing to me And aint too many hoes that can hang with me Its like that and as a matter of fact, when it comes to the Brat I got the shit thatll make your neck snap back  Meaning I got the shit that a getcha bent Tearin the roof off this motha like Parliament Im on a roll in control like Janet, damnit! (Ranch, oh, the funk bandit and they cant handle it)  I know, thats why I keep hittin em with this grammar Lettin niggas know that Im the real mama jama Straight to the head like a chronic sack I passed the mic to the Brat and yo I passed it back  Wella sistas and fellas, its time to get your groove on I provide the funkdafied sound to make you move on Breakin these fools off proper like Its S O S O D E F  dynamite  Hummin-ah, hummin-ah, comin up at ya like Ralph K And since this aint no honeymoon, Im here to stay And the way we comin at ya, baby, we cant miss Theres a new tag team in town, nigga, whoomp, there it is  So, so, so funkdafied So, so, so funkdafied So, so, so funkdafied So, so, so funkdafied",1994
LEANN RIMES - HOW DO I LIVE LYRICS,"How do I get through one night without you? If I had to live without you What kind of life would that be?  Oh, I, I need you in my arms, need you to hold Youre my world, my heart, my soul and if you ever leave Baby you would take away everything good in my life And tell me now  How do I live without you? I want to know How do I breathe without you if you ever go? How do I ever, ever survive? How do I, how do I, oh, how do I live?  Without you thered be no sun in my sky There would be no love in my life Thered be no world left for me  And I, baby, I dont know what I would do Id be lost if I lost you, if you ever leave Baby, you would take away everything real in my life And tell me now  How do I live without you? I want to know How do I breathe without you if you ever go? How do I ever, ever survive? How do I, how do I, oh, how do I live?  Please, tell me, baby How do I go on if you ever leave? Baby, you would take away everything, I need you with me Baby, dont you know that youre everything good in my life? And tell me now  How do I live without you? I want to know How do I breathe without you if you ever go How do I ever, ever survive? How do I, how do I, oh, how do I live?  How do I live without you? How do I live without you, baby? How do I live?",1997
